split,image_id,image_path,s,o,r,r_inv,label,s_box,o_box,width,height,present_rels
calib,2369526,/root/autodl-tmp/data/GQA/images/2369526.jpg,man,elephant,behind,in front of,1,179|18|138|272,71|140|428|192,500,334,behind
eval,2324183,/root/autodl-tmp/data/GQA/images/2324183.jpg,feathers,birds,to the left of,to the right of,1,290|155|37|43,36|263|41|31,500,333,to the left of
calib,2385924,/root/autodl-tmp/data/GQA/images/2385924.jpg,man,shirt,in front of,behind,0,386|70|68|249,389|126|56|72,500,339,to the left of
eval,2316597,/root/autodl-tmp/data/GQA/images/2316597.jpg,guy,bird,watching,watched by,1,472|1|27|64,131|84|318|199,500,332,watching
eval,2406564,/root/autodl-tmp/data/GQA/images/2406564.jpg,tiger,motorcycle,next to,next to,0,19|279|140|113,17|136|313|323,331,500,watching
calib,2406953,/root/autodl-tmp/data/GQA/images/2406953.jpg,branches,umbrella,holding,held by,1,145|35|45|39,159|101|102|70,500,333,holding|under
calib,2315601,/root/autodl-tmp/data/GQA/images/2315601.jpg,banana,man,near,near,1,440|203|19|55,211|107|54|217,500,373,near|to the left of|to the right of
eval,2350006,/root/autodl-tmp/data/GQA/images/2350006.jpg,sticks,skis,riding,ridden by,0,71|16|20|116,236|75|67|59,500,206,carrying
eval,2404539,/root/autodl-tmp/data/GQA/images/2404539.jpg,person,bun,carrying,carried by,0,4|8|93|112,151|211|169|163,375,500,under
eval,2322017,/root/autodl-tmp/data/GQA/images/2322017.jpg,ski,goggles,near,near,0,161|258|61|16,231|111|34|31,500,335,to the left of
eval,713411,/root/autodl-tmp/data/GQA/images/713411.jpg,sign,motorcycle,above,below,0,591|89|37|227,358|528|53|99,1024,768,riding|to the left of|to the right of
eval,2387036,/root/autodl-tmp/data/GQA/images/2387036.jpg,chair,tank top,holding,held by,0,309|103|160|151,42|159|115|147,500,333,wearing
eval,2316161,/root/autodl-tmp/data/GQA/images/2316161.jpg,hand,fan,under,on top of,0,0|177|47|105,12|70|76|259,500,333,holding
eval,2398747,/root/autodl-tmp/data/GQA/images/2398747.jpg,hat,bear,next to,next to,1,223|58|194|195,204|57|237|302,500,374,next to|to the right of
eval,2342617,/root/autodl-tmp/data/GQA/images/2342617.jpg,suv,truck,on top of,under,0,0|167|59|51,43|122|312|113,500,375,near|next to|to the left of
calib,2365119,/root/autodl-tmp/data/GQA/images/2365119.jpg,light switch,shelf,below,above,1,292|236|51|48,30|169|265|25,375,500,below
eval,2416539,/root/autodl-tmp/data/GQA/images/2416539.jpg,hair,glasses,wearing,worn by,1,273|49|119|60,358|89|26|39,500,375,wearing
eval,1082,/root/autodl-tmp/data/GQA/images/1082.jpg,shoes,dress,above,below,0,141|245|232|109,337|147|92|135,600,402,holding
eval,2393461,/root/autodl-tmp/data/GQA/images/2393461.jpg,purse,woman,below,above,1,104|282|61|131,20|48|123|421,435,500,below
eval,2345287,/root/autodl-tmp/data/GQA/images/2345287.jpg,counter,pitcher,behind,in front of,1,58|239|441|80,232|123|48|62,500,375,behind
eval,2343032,/root/autodl-tmp/data/GQA/images/2343032.jpg,head,pants,below,above,0,182|79|67|64,144|248|173|84,500,333,wearing
