image_id,image_path,s,o,r,r_inv,label,split,family,qtype,orig_text,sub_box,obj_box
8c4e736ef60aa3f9.jpg,/root/autodl-tmp/data/R-bench/validation/8c4e736ef60aa3f9.jpg,man,red hat,wearing,worn by,1,calib,non-spatial,Positive,Does the man in the image wear a red hat?,0|51|768|973,177|51|483|318
ecc1b92e865ed769.jpg,/root/autodl-tmp/data/R-bench/validation/ecc1b92e865ed769.jpg,man,two large fish,holding,held by,1,calib,non-spatial,Positive,Is the man in the image holding two large fish?,420|31|256|629,543|384|102|369
aef0a8bc66d5205d.jpg,/root/autodl-tmp/data/R-bench/validation/aef0a8bc66d5205d.jpg,people,parachute,riding,ridden by,1,eval,non-spatial,Positive,Are the people in the image riding on a parachute?,266|473|123|212,0|0|1024|411
abd556f244c58f8a.jpg,/root/autodl-tmp/data/R-bench/validation/abd556f244c58f8a.jpg,man,red paddle,playing,played by,1,calib,non-spatial,Opposite,Is the man in the image playing table tennis with a red paddle?,358|27|615|642,255|191|203|88
ac8cd22259045ec4.jpg,/root/autodl-tmp/data/R-bench/validation/ac8cd22259045ec4.jpg,people,cafe,eating,eaten by,1,eval,non-spatial,Positive,Are there people eating at the cafe?,276|317|72|209,0|7|1024|667
241fa3a6aabc7381.jpg,/root/autodl-tmp/data/R-bench/validation/241fa3a6aabc7381.jpg,sea lion,water,swimming,,1,calib,non-spatial,Positive,Is the sea lion swimming in the water?,0|176|870|374,512|6|502|544
c03e2829c1f8e983.jpg,/root/autodl-tmp/data/R-bench/validation/c03e2829c1f8e983.jpg,man,rocket,looking at,looked at by,1,calib,non-spatial,Positive,Is the man in the image looking at the rocket?,614|686|70|184,154|51|422|871
df754b5d85cef4f2.jpg,/root/autodl-tmp/data/R-bench/validation/df754b5d85cef4f2.jpg,person,car,driving,,1,eval,non-spatial,Positive,Is the person in the image driving the car?,440|171|318|410,10|20|1014|656
6bc56f8366132974.jpg,/root/autodl-tmp/data/R-bench/validation/6bc56f8366132974.jpg,pineapple,lemon,interacting with,interacted with by,1,eval,non-spatial,Opposite,Does the pineapple in the image interact with the lemon?,351|0|572|932,628|737|249|256
6ed3e3ebe9a5fde5.jpg,/root/autodl-tmp/data/R-bench/validation/6ed3e3ebe9a5fde5.jpg,woman,monitor,watching,watched by,1,calib,non-spatial,Positive,Is the woman in the image watching something on the monitor?,162|206|356|447,389|307|92|69
58798929a694cd43.jpg,/root/autodl-tmp/data/R-bench/validation/58798929a694cd43.jpg,man,blue martini,drinking,drunk by,1,calib,non-spatial,Opposite,Is the man in the image drinking a blue martini?,154|0|870|682,123|198|307|470
8617694c95033edf.jpg,/root/autodl-tmp/data/R-bench/validation/8617694c95033edf.jpg,horse,wood,carrying,carried by,1,eval,non-spatial,Opposite,Is the horse in the image carrying wood?,183|210|581|466,92|7|676|376
c020aa3c539efe6f.jpg,/root/autodl-tmp/data/R-bench/validation/c020aa3c539efe6f.jpg,man,power drill,using,used by,1,eval,non-spatial,Opposite,Does the man in the image use a power drill on a piece of wood?,41|34|287|649,236|273|122|144
333452abf04d1b2b.jpg,/root/autodl-tmp/data/R-bench/validation/333452abf04d1b2b.jpg,girl,book,reading,read by,1,calib,non-spatial,Positive,Is the girl in the image reading a book?,266|200|410|484,266|407|379|315
cc3be92a42a1ce64.jpg,/root/autodl-tmp/data/R-bench/validation/cc3be92a42a1ce64.jpg,man,clothing,wearing,worn by,0,calib,non-spatial,Positive,Is the man in the image wearing clothing?,51|31|205|655,532|133|164|256
81eab2350699a82e.jpg,/root/autodl-tmp/data/R-bench/validation/81eab2350699a82e.jpg,man,glasses,holding,held by,0,eval,non-spatial,Opposite,Is the man in the image holding his glasses?,0|31|549|993,0|31|549|993
67c9dd8871b245ae.jpg,/root/autodl-tmp/data/R-bench/validation/67c9dd8871b245ae.jpg,people,motorcycles,riding,ridden by,0,eval,non-spatial,Positive,Are there people riding motorcycles in the image?,358|225|215|431,20|321|246|307
3ecc39c24fe3d233.jpg,/root/autodl-tmp/data/R-bench/validation/3ecc39c24fe3d233.jpg,person,trumpet,playing,played by,0,calib,non-spatial,Opposite,Is the person in the image playing the trumpet?,0|240|389|446,502|226|338|172
ce05c78f65ee8ade.jpg,/root/autodl-tmp/data/R-bench/validation/ce05c78f65ee8ade.jpg,jaguar,plants,eating,eaten by,0,calib,non-spatial,Opposite,Is the jaguar eating plants in a field?,205|269|287|197,471|11|553|532
d72dd8e6f1493ac1.jpg,/root/autodl-tmp/data/R-bench/validation/d72dd8e6f1493ac1.jpg,shark,another shark,swimming,,0,eval,non-spatial,Opposite,Is the shark swimming near another shark in the image?,0|8|983|752,0|8|983|752
15e2134bf1363429.jpg,/root/autodl-tmp/data/R-bench/validation/15e2134bf1363429.jpg,person,books on the shelf,looking at,looked at by,0,calib,non-spatial,Opposite,Is the person in the image looking at books on the shelf?,430|232|143|451,0|0|471|683
9c7e9f0b7713352b.jpg,/root/autodl-tmp/data/R-bench/validation/9c7e9f0b7713352b.jpg,truck,bus,driving,,0,calib,non-spatial,Opposite,Does the truck drive behind the bus?,389|355|123|109,328|307|153|137
987f07dd15401231.jpg,/root/autodl-tmp/data/R-bench/validation/987f07dd15401231.jpg,person,trees,interacting with,interacted with by,0,eval,non-spatial,Opposite,Is the person swimming in the pool interacting with the trees?,604|502|144|35,205|17|246|404
ec724ef6386c46fd.jpg,/root/autodl-tmp/data/R-bench/validation/ec724ef6386c46fd.jpg,police officer,man adjusting the bike,watching,watched by,0,eval,non-spatial,Opposite,Is the police officer watching the man adjusting the bike?,14|61|245|748,320|72|361|952
3332995b230f5680.jpg,/root/autodl-tmp/data/R-bench/validation/3332995b230f5680.jpg,woman,icee,drinking,drunk by,0,eval,non-spatial,Opposite,Is the woman in the image drinking an Icee?,573|307|164|338,276|20|584|1004
9aef214668a40012.jpg,/root/autodl-tmp/data/R-bench/validation/9aef214668a40012.jpg,bird,snake,carrying,carried by,1,calib,non-spatial,Positive,Is the bird in the image carrying a snake?,164|20|840|973,174|522|205|226
43d3e75d8266c4b6.jpg,/root/autodl-tmp/data/R-bench/validation/43d3e75d8266c4b6.jpg,woman,camera,using,used by,1,calib,non-spatial,Positive,Is the woman in the image using the camera to take a picture of her face?,0|0|1024|768,225|261|553|307
e823885c5fe5400a.jpg,/root/autodl-tmp/data/R-bench/validation/e823885c5fe5400a.jpg,woman,book,reading,read by,1,calib,non-spatial,Positive,Is the woman in the image reading a book?,0|15|891|532,0|410|707|282
336bacff8461dbaa.jpg,/root/autodl-tmp/data/R-bench/validation/336bacff8461dbaa.jpg,woman,red swimsuit,wearing,worn by,1,eval,non-spatial,Positive,Is the woman in the image wearing a red swimsuit?,214|184|544|625,348|266|169|266
b085f6708ee5a803.jpg,/root/autodl-tmp/data/R-bench/validation/b085f6708ee5a803.jpg,man,paintball gun,holding,held by,1,eval,non-spatial,Positive,Is the man holding a paintball gun?,246|36|532|570,20|48|420|231
9981302a90bd62b1.jpg,/root/autodl-tmp/data/R-bench/validation/9981302a90bd62b1.jpg,man,segway,riding,ridden by,1,calib,non-spatial,Positive,Is the man in the image riding a segway?,451|100|163|407,379|323|256|330
0374141ebf11632e.jpg,/root/autodl-tmp/data/R-bench/validation/0374141ebf11632e.jpg,boy,instrument,playing,played by,1,eval,non-spatial,Positive,Is the boy playing an instrument?,246|14|379|618,451|109|440|462
91ec1c47d9908244.jpg,/root/autodl-tmp/data/R-bench/validation/91ec1c47d9908244.jpg,squirrel,berries,eating,eaten by,1,eval,non-spatial,Positive,Is the squirrel eating berries?,314|163|710|605,369|207|41|46
c9a9c94c00eaf042.jpg,/root/autodl-tmp/data/R-bench/validation/c9a9c94c00eaf042.jpg,fish,coral,swimming,,1,eval,non-spatial,Positive,Is the fish swimming near the coral?,157|610|312|123,0|8|1024|760
6b93600bf7b77a49.jpg,/root/autodl-tmp/data/R-bench/validation/6b93600bf7b77a49.jpg,ostrich,camera,looking at,looked at by,1,calib,non-spatial,Positive,Is the ostrich looking at the camera?,573|169|297|599,573|169|297|599
a30d03e30dca89ea.jpg,/root/autodl-tmp/data/R-bench/validation/a30d03e30dca89ea.jpg,man,pickup truck,driving,,1,calib,non-spatial,Positive,Is the man driving the pickup truck?,625|269|61|54,266|223|666|376
19682f51b9c5e5d5.jpg,/root/autodl-tmp/data/R-bench/validation/19682f51b9c5e5d5.jpg,goat,rocks,interacting with,interacted with by,0,calib,non-spatial,Opposite,Is the goat interacting with the rocks on the hillside?,328|178|399|368,123|20|92|82
9aea7f9fcea795d1.jpg,/root/autodl-tmp/data/R-bench/validation/9aea7f9fcea795d1.jpg,people,small bridge,watching,watched by,1,eval,non-spatial,Positive,Are there people watching the woman cross the small bridge?,440|355|123|286,92|246|676|436
