image_id,image_path,s,o,r,r_inv,label,split,family,qtype,orig_text,sub_box,obj_box
8c4e736ef60aa3f9.jpg,/root/autodl-tmp/data/R-bench/validation/8c4e736ef60aa3f9.jpg,man,red hat,wearing,worn by,1,calib,non-spatial,Positive,Does the man in the image wear a red hat?,0|51|768|973,177|51|483|318
cc3be92a42a1ce64.jpg,/root/autodl-tmp/data/R-bench/validation/cc3be92a42a1ce64.jpg,man,clothing,wearing,worn by,0,calib,non-spatial,Positive,Is the man in the image wearing clothing?,51|31|205|655,532|133|164|256
336bacff8461dbaa.jpg,/root/autodl-tmp/data/R-bench/validation/336bacff8461dbaa.jpg,woman,red swimsuit,wearing,worn by,1,eval,non-spatial,Positive,Is the woman in the image wearing a red swimsuit?,214|184|544|625,348|266|169|266
9ae2d9c5782e3d8c.jpg,/root/autodl-tmp/data/R-bench/validation/9ae2d9c5782e3d8c.jpg,man,black coat,wearing,worn by,0,eval,non-spatial,Opposite,Is the man in the image wearing a black coat?,0|369|768|655,0|369|768|655
ce7ee590cc097ae0.jpg,/root/autodl-tmp/data/R-bench/validation/ce7ee590cc097ae0.jpg,blonde barbie doll,pink lipstick,wearing,worn by,1,eval,non-spatial,Positive,Is the blonde Barbie doll wearing pink lipstick?,215|8|573|760,522|445|133|70
63e2c41f873864a3.jpg,/root/autodl-tmp/data/R-bench/validation/63e2c41f873864a3.jpg,man,santa costume,wearing,worn by,0,calib,non-spatial,Opposite,Is the man in the image wearing a Santa costume?,440|178|236|498,440|178|236|498
3d27c190d43ac211.jpg,/root/autodl-tmp/data/R-bench/validation/3d27c190d43ac211.jpg,man,swim cap,wearing,worn by,1,eval,non-spatial,Positive,Does the man in the image wear a swim cap?,0|89|666|279,430|89|154|108
a51400dd646350f7.jpg,/root/autodl-tmp/data/R-bench/validation/a51400dd646350f7.jpg,man,vest,wearing,worn by,0,calib,non-spatial,Opposite,Is the man in the image wearing a vest?,0|0|1024|676,0|0|1024|676
55f1af9a02042d09.jpg,/root/autodl-tmp/data/R-bench/validation/55f1af9a02042d09.jpg,man,roller skates,wearing,worn by,1,eval,non-spatial,Positive,Is the man in the image wearing roller skates?,102|31|335|962,273|891|82|102
5635c9b530f89131.jpg,/root/autodl-tmp/data/R-bench/validation/5635c9b530f89131.jpg,man,black suit,wearing,worn by,0,eval,non-spatial,Opposite,Is the man in the image wearing a black suit?,34|41|512|973,410|10|259|871
c4e8395425f49d05.jpg,/root/autodl-tmp/data/R-bench/validation/c4e8395425f49d05.jpg,man,helmet,wearing,worn by,1,calib,non-spatial,Positive,Is the man in the image wearing a helmet?,297|123|276|396,369|123|82|55
125fd09ae6bccf6a.jpg,/root/autodl-tmp/data/R-bench/validation/125fd09ae6bccf6a.jpg,man,blue goggle,wearing,worn by,0,calib,non-spatial,Opposite,Does the man in the image wear a blue goggle?,174|136|113|91,174|136|113|91
c54175229271d3f0.jpg,/root/autodl-tmp/data/R-bench/validation/c54175229271d3f0.jpg,woman,underwear,wearing,worn by,1,calib,non-spatial,Opposite,Is the woman in the image wearing underwear that advertises burgers and drinks?,93|0|825|1024,213|461|566|399
ec54e8eb3ba51fd9.jpg,/root/autodl-tmp/data/R-bench/validation/ec54e8eb3ba51fd9.jpg,boys,hats,wearing,worn by,0,calib,non-spatial,Positive,Are the boys wearing hats?,553|215|205|215,696|138|144|77
ac36d564ad0b93e1.jpg,/root/autodl-tmp/data/R-bench/validation/ac36d564ad0b93e1.jpg,woman,blue outfit,wearing,worn by,1,eval,non-spatial,Positive,Is the woman in the image wearing a blue outfit?,348|0|676|492,410|0|286|485
c7133cc36acc887d.jpg,/root/autodl-tmp/data/R-bench/validation/c7133cc36acc887d.jpg,girl,heart-shaped gem,wearing,worn by,0,eval,non-spatial,Opposite,Is the girl in the image wearing a heart-shaped gem?,338|127|225|194,338|127|225|194
53859c6247a3db01.jpg,/root/autodl-tmp/data/R-bench/validation/53859c6247a3db01.jpg,man,glasses,wearing,worn by,1,eval,non-spatial,Opposite,Does the man in the image wear glasses?,143|138|133|215,205|161|51|39
626a3711b885a310.jpg,/root/autodl-tmp/data/R-bench/validation/626a3711b885a310.jpg,man,goggles,wearing,worn by,0,calib,non-spatial,Opposite,Is the man in the image wearing goggles?,532|0|410|191,440|301|92|61
c22e29581c0e797e.jpg,/root/autodl-tmp/data/R-bench/validation/c22e29581c0e797e.jpg,man,blue helmet,wearing,worn by,1,eval,non-spatial,Opposite,Is the man in the image wearing a blue helmet?,543|164|235|334,543|164|112|61
409f7b5ca2a458c6.jpg,/root/autodl-tmp/data/R-bench/validation/409f7b5ca2a458c6.jpg,woman,swim cap,wearing,worn by,0,eval,non-spatial,Opposite,Is the woman in the image wearing a swim cap?,0|171|348|232,430|150|133|157
1e73dd071c85fe3d.jpg,/root/autodl-tmp/data/R-bench/validation/1e73dd071c85fe3d.jpg,man,helmet,wearing,worn by,1,calib,non-spatial,Positive,Is the man in the image wearing a helmet?,358|229|471|246,717|229|112|72
24073df6a9c58c6b.jpg,/root/autodl-tmp/data/R-bench/validation/24073df6a9c58c6b.jpg,boy,swim cap,wearing,worn by,0,eval,non-spatial,Opposite,Is the boy in the image wearing a swim cap?,266|581|133|102,717|266|133|110
ecb9d4f10c69569d.jpg,/root/autodl-tmp/data/R-bench/validation/ecb9d4f10c69569d.jpg,man,jeans,wearing,worn by,1,eval,non-spatial,Positive,Does the man in the image wear jeans?,61|102|397|922,113|914|309|110
9a716890c5e81744.jpg,/root/autodl-tmp/data/R-bench/validation/9a716890c5e81744.jpg,woman,black dress,wearing,worn by,0,eval,non-spatial,Opposite,Is the woman wearing a black dress?,697|126|291|508,697|126|291|508
1f7c714c88527e6b.jpg,/root/autodl-tmp/data/R-bench/validation/1f7c714c88527e6b.jpg,man,shirt,wearing,worn by,1,calib,non-spatial,Positive,Does the man in the image wear a shirt?,204|209|615|474,202|199|621|482
a6fba3d8e01d2219.jpg,/root/autodl-tmp/data/R-bench/validation/a6fba3d8e01d2219.jpg,woman,glasses,wearing,worn by,0,eval,non-spatial,Opposite,Does the woman in the image wear glasses?,492|386|61|40,492|386|61|40
86463a5a7dcb1a69.jpg,/root/autodl-tmp/data/R-bench/validation/86463a5a7dcb1a69.jpg,man,cowboy hat,wearing,worn by,1,calib,non-spatial,Positive,Is the man in the image wearing a cowboy hat?,481|97|543|648,614|97|246|156
1f0c0b509013b719.jpg,/root/autodl-tmp/data/R-bench/validation/1f0c0b509013b719.jpg,woman,revealing top,wearing,worn by,0,eval,non-spatial,Opposite,Is the woman wearing a revealing top in the image?,90|41|540|983,111|522|373|502
